rpt_rec_num,provider_number,year,util_cd,fy_bgn_dt,fy_end_dt,beds,mcare_discharges,medicaid_discharges,tot_charges,tot_discharges,tot_discounts,tot_mcare_payment,ip_charges,icu_charges,ancillary_charges,hrrp_payment,vbp_payment,discount_factor,price,net_penalty,any_penalty
283714,110200,2010,F,07/01/2009,2010-06-30,67.0,2348.0,101.0,185690725.0,25915.0,121854430.0,8664720.0,,,,,,0.3437775096198262,-367.6632579454322,0.0,0
538836,110200,2011,F,07/01/2010,2011-06-30,30.0,5591.0,82.0,188069286.0,25915.0,118964541.0,7140217.0,58385460.0,13730.0,58399190.0,-1.0,-1.0,0.3674430124650976,1760.3095649598115,-2.0,1
532393,110200,2012,F,07/01/2011,2012-06-30,30.0,5117.0,100.0,174975553.0,25986.0,113184069.0,8180565.0,55456041.0,4857.0,55460898.0,-1.0,1.0,0.3531435274275144,1485.01362346232,0.0,0
544845,110200,2013,F,07/01/2012,2013-06-30,30.0,5809.0,59.0,191929166.0,25915.0,127019351.0,9711607.0,59518808.0,16868.0,59535676.0,19357.0,13332.0,0.33819672305562976,1519.8415426342087,32689.0,0
546290,110200,2014,F,07/01/2013,2014-06-30,30.0,5308.0,27.0,191976345.0,25915.0,129644538.0,9523764.0,58634469.0,14438.0,58648907.0,31475.0,11631.0,0.32468483031073436,1385.9881028005086,43106.0,0
566701,110200,2015,F,07/01/2014,2015-06-30,30.0,5384.0,43.0,195211851.0,25915.0,132490875.0,9353636.0,60283030.0,45215.0,60328245.0,24645.0,13933.0,0.3212969687992969,1432.6106133633373,38578.0,0
588136,110200,2016,F,07/01/2015,2016-06-30,30.0,5115.0,59.0,214124216.0,25986.0,149497864.0,9879962.0,62967214.0,7448.0,62974662.0,32035.0,23657.0,0.3018171097471759,1347.980400761373,55692.0,0
643699,110200,2017,F,07/01/2016,2017-06-30,30.0,4983.0,81.0,229366049.0,13505.0,158474436.0,11003479.0,62689406.0,31034.0,62720440.0,1.0,1.0,0.30907631407994474,3258.3109393739333,2.0,0
637767,110200,2018,F,07/01/2017,2018-06-30,30.0,4967.0,133.0,230642620.0,20805.0,161649561.0,9818448.0,64972853.0,206623.0,65179476.0,23789.0,36628.0,0.2991340412279395,1842.1740195731145,60417.0,0
659661,110200,2019,F,07/01/2018,2019-06-30,30.0,8643.0,362.0,300198043.0,21289.0,219289949.0,12116394.0,70000992.0,559356.0,70560348.0,30969.0,40612.0,0.2695157276558262,2049.490200042436,71581.0,0
290530,110201,2010,F,07/01/2009,2010-06-30,91.0,6482.0,764.0,166990556.0,37595.0,121711940.0,12014644.0,,,,,,0.27114477060606945,-386.1615401922026,0.0,0
549745,110201,2011,F,07/01/2010,2011-06-30,30.0,11776.0,560.0,186548540.0,37595.0,136182660.0,10299168.0,43424238.0,399927.0,43824165.0,9840.0,,0.26998806852093293,517.6356685303591,9840.0,0
536889,110201,2012,F,07/01/2011,2012-06-30,30.0,9140.0,738.0,188039219.0,37698.0,142151006.0,8748488.0,43045040.0,223949.0,43268989.0,152709.0,24.0,0.24403533073597805,433.14784237176247,152733.0,0
552234,110201,2013,F,07/01/2012,2013-06-30,30.0,9137.0,663.0,204570808.0,37595.0,157157252.0,8139756.0,43709596.0,157630.0,43867226.0,-130667.0,-44091.0,0.23177087905914706,428.5099115824212,-174758.0,1
543683,110201,2014,F,07/01/2013,2014-06-30,30.0,7849.0,436.0,220272341.0,24645.0,173842237.0,7533167.0,42194541.0,144239.0,42338780.0,-402355.0,-22592.0,0.21078499365474124,614.1695610442349,-424947.0,1
566826,110201,2015,F,07/01/2014,2015-06-30,30.0,9020.0,355.0,279348204.0,21900.0,221633043.0,8841302.0,49289749.0,143282.0,49433031.0,167374.0,33652.0,0.20660652251768186,899.4620547234107,201026.0,0
588797,110201,2016,F,07/01/2015,2016-06-30,30.0,9763.0,645.0,321634307.0,23104.0,261200085.0,9473143.0,50512933.0,242084.0,50755017.0,-249855.0,22512.0,0.18789731283236522,719.610195196914,-227343.0,1
645327,110201,2017,F,07/01/2016,2017-06-30,30.0,9807.0,563.0,380195398.0,31025.0,311823394.0,9940541.0,55758492.0,535364.0,56293856.0,-1.0,62.0,0.17983385480115677,485.7451810822158,61.0,0
639444,110201,2018,F,07/01/2017,2018-06-30,30.0,10590.0,679.0,437615461.0,31025.0,363610228.0,10710162.0,57701420.0,519519.0,58220939.0,-329950.0,32236.0,0.16911018827097613,439.50799663352257,-297714.0,1
687921,110201,2019,F,07/01/2018,2019-06-30,30.0,10937.0,648.0,500349246.0,31025.0,426174181.0,10499521.0,60452199.0,534932.0,60987131.0,44445.0,15756.0,0.14824658094917964,377.4764190212787,60201.0,0
262982,110203,2010,F,09/01/2009,2010-08-31,17.0,2696.0,169.0,78148570.0,6205.0,45168884.0,3230880.0,,,,,,0.42201266126814607,-920.7409518381305,0.0,0
523377,110203,2011,F,09/01/2010,2011-08-31,30.0,3182.0,146.0,82854010.0,6205.0,48919357.0,3413986.0,33467324.0,,,-3499.0,-3025.0,0.409571642941603,3404.988711723103,-6524.0,1
514298,110203,2012,F,09/01/2011,2012-08-31,30.0,2053.0,164.0,82856729.0,6222.0,51260098.0,1811224.0,29773167.0,,,-2238.0,-96384.0,0.38134055473032247,2288.9162916427276,-98622.0,1
