provider_number,price_2011,price_2014,net_penalty,hrrp_penalty,vbp_penalty,any_penalty,net_penalty_1k,hrrp_penalty_1k,avg_mcare_dis,avg_beds,avg_mcaid_dis,avg_mcare_100,price_change
010158,434.0683185026138,256.4664340435436,116404.0,93780.0,22624.0,1.0,116.404,93.78,8602.0,57.5,2318.5,86.02,-177.60188445907022
010164,221.4061101711404,404.78561792449875,169654.0,169654.0,0.0,1.0,169.654,169.654,11455.0,72.0,4057.0,114.55,183.37950775335835
010168,221.4061101711404,1361.3720389745256,0.0,0.0,0.0,0.0,0.0,0.0,6152.5,44.0,899.0,61.525,1139.9659288033852
020001,9016.328491205517,6005.81566898447,19230.0,0.0,19230.0,1.0,19.23,0.0,58109.0,153.5,26387.0,581.09,-3010.512822221047
020006,1963.3237954499045,1377.2254993777372,0.0,0.0,0.0,0.0,0.0,0.0,10941.5,45.0,3300.5,109.415,-586.0982960721674
020008,3016.407294524187,6591.229167077319,73033.0,0.0,73033.0,1.0,73.033,0.0,4512.5,35.0,1998.5,45.125,3574.8218725531324
020012,9265.427514245474,9370.397539358428,74993.0,0.0,74993.0,1.0,74.993,0.0,14092.5,72.0,5334.5,140.925,104.97002511295432
020017,2005.5681287340192,3822.481899029766,29019.0,0.0,29019.0,1.0,29.019,0.0,15778.5,73.0,3556.5,157.785,1816.9137702957466
020024,10314.913194641722,11133.528764616662,884485.0,0.0,884485.0,1.0,884.485,0.0,5835.0,35.0,1733.0,58.35,818.6155699749397
030001,266.4787700424002,256.4664340435436,23626.0,23626.0,0.0,1.0,23.626,23.626,12486.5,121.0,3997.5,124.865,-10.0123359988566
030002,4800.506843651779,2316.449536325107,0.0,0.0,0.0,0.0,0.0,0.0,101697.5,242.5,54529.0,1016.975,-2484.0573073266714
030006,884.9435942705832,3269.5600753605063,1762022.0,1754553.0,7469.0,1.0,1762.022,1754.553,78279.5,216.5,43075.0,782.795,2384.616481089923
030007,2310.024788183874,1880.4930068604847,0.0,0.0,0.0,0.0,0.0,0.0,13208.0,58.0,3406.5,132.08,-429.5317813233894
030010,261.21998253902285,610.9384492138347,288645.0,288645.0,0.0,1.0,288.645,288.645,37945.0,165.5,15731.0,379.45,349.71846667481185
030011,229.37491557989355,803.6720993503882,2497.0,0.0,2497.0,1.0,2.497,0.0,57996.5,207.0,18920.0,579.965,574.2971837704946
030012,1926.9149132214036,1572.6811674060318,69.0,0.0,69.0,1.0,0.069,0.0,19859.0,75.0,4537.0,198.59,-354.2337458153718
030013,1745.2722133305133,1268.5540514917063,162682.0,0.0,162682.0,1.0,162.682,0.0,46481.5,150.5,14516.0,464.815,-476.71816183880696
030014,629.9783849442365,3066.072274715152,0.0,0.0,0.0,0.0,0.0,0.0,43434.5,126.0,17096.0,434.345,2436.0938897709157
030016,348.78711004909,866.084676834329,0.0,0.0,0.0,0.0,0.0,0.0,21973.0,86.0,9860.0,219.73,517.297566785239
030022,4899.7660775645545,9157.64142076475,0.0,0.0,0.0,0.0,0.0,0.0,34757.0,154.5,39876.5,347.57,4257.875343200196
030023,4351.6061128449865,4710.27881240357,612476.0,48868.0,563608.0,1.0,612.476,48.868,36898.0,106.0,20959.5,368.98,358.6726995585832
030024,4519.725973273704,3652.499640553509,29454.0,29454.0,0.0,1.0,29.454,29.454,98571.5,210.0,85027.0,985.715,-867.2263327201949
030036,10314.913194641722,7209.349694555834,515.0,0.0,515.0,1.0,0.515,0.0,47176.5,118.5,20600.0,471.765,-3105.5635000858883
030037,1642.8587896260933,1161.5783495866453,149885.0,149885.0,0.0,1.0,149.885,149.885,20321.5,103.5,13113.0,203.215,-481.28044003944797
030038,2343.4181508378706,1546.0381678211547,0.0,0.0,0.0,0.0,0.0,0.0,48664.5,150.0,16216.5,486.645,-797.3799830167159
030043,3081.488999947243,1654.639924733067,0.0,0.0,0.0,0.0,0.0,0.0,13447.5,56.0,4479.0,134.475,-1426.849075214176
030055,2156.5773466837277,1955.5778156140552,0.0,0.0,0.0,0.0,0.0,0.0,25382.5,88.5,9017.0,253.825,-200.99953106967246
030061,840.5316916574216,747.3919978463191,34.0,0.0,34.0,1.0,0.034,0.0,62038.0,165.5,5629.0,620.38,-93.13969381110246
030062,2472.2007492637035,2904.0615367501405,242269.0,130154.0,112115.0,1.0,242.269,130.154,8626.5,49.5,4923.5,86.265,431.86078748643695
030064,5284.349873207866,6439.513273087095,0.0,0.0,0.0,0.0,0.0,0.0,76840.5,179.5,51627.0,768.405,1155.1633998792286
030065,2189.406451613138,2146.074338467595,166756.0,166756.0,0.0,1.0,166.756,166.756,88698.0,266.0,54252.5,886.98,-43.332113145542735
030068,1041.8715665325637,3146.2443768198887,0.0,0.0,0.0,0.0,0.0,0.0,4975.0,42.5,2604.5,49.75,2104.3728102873247
030069,1255.7891226947686,722.4096582306603,187198.0,187198.0,0.0,1.0,187.198,187.198,20859.5,91.0,3090.0,208.595,-533.3794644641083
030083,314.83733517861015,907.6883882882895,46190.0,46069.0,121.0,1.0,46.19,46.069,15295.0,76.0,1153.5,152.95,592.8510531096794
030087,2285.9729430133643,1992.6838039593886,0.0,0.0,0.0,0.0,0.0,0.0,61731.0,193.5,9858.0,617.31,-293.28913905397576
030088,1508.3209574617867,933.4423914491215,103951.0,0.0,103951.0,1.0,103.951,0.0,56758.5,161.0,12220.0,567.585,-574.8785660126653
030089,3338.9932736614064,2495.2015184389297,0.0,0.0,0.0,0.0,0.0,0.0,74820.0,163.5,36255.0,748.2,-843.7917552224767
030092,577.4515592075647,2370.9855898619085,0.0,0.0,0.0,0.0,0.0,0.0,27520.5,99.5,9567.0,275.205,1793.5340306543437
030093,770.9838338743602,637.4446096537943,91.0,0.0,91.0,1.0,0.091,0.0,46179.5,170.0,9804.0,461.795,-133.53922422056598
030103,4403.764230262057,11006.437192268237,0.0,0.0,0.0,0.0,0.0,0.0,47971.5,123.5,2366.5,479.715,6602.67296200618
030105,828.2511563354416,507.65957761581984,36558.0,34606.0,1952.0,1.0,36.558,34.606,15603.5,48.5,1550.5,156.035,-320.59157871962174
030108,261.214150762294,256.4664340435436,0.0,0.0,0.0,0.0,0.0,0.0,1524.5,28.5,56.0,15.245,-4.747716718750439
030110,1357.7524127572456,1118.5521391859472,0.0,0.0,0.0,0.0,0.0,0.0,21478.5,79.5,1599.5,214.785,-239.20027357129834
030111,3307.2414023739448,2151.5329582875543,176117.0,0.0,176117.0,1.0,176.117,0.0,18336.5,81.5,15142.5,183.365,-1155.7084440863905
030112,282.3432408681888,256.4664340435436,0.0,0.0,0.0,0.0,0.0,0.0,1669.5,27.0,,16.695,-25.8768068246452
030115,6047.066915466012,1349.1023713748853,0.0,0.0,0.0,0.0,0.0,0.0,39235.0,103.5,24722.5,392.35,-4697.964544091126
