year,n_hospitals,share_any
2012,6140,0.3534201954397394
2013,6066,0.3231124299373557
2014,6064,0.3019459102902375
2015,6051,0.2974714923153198
2016,6091,0.31357740929239863
2017,6083,0.31103074141048825
2018,6042,0.3500496524329692
2019,6031,0.30873818603879954
